country,xlong,yhat
AGO,13.46,-9
ARG,-58.41,-34.67
AUS,149.04,-35.35
AUT,16.32,48.2
BDI,29.53,-3.27
BEL,4.37,50.84
BEN,2.63,6.6
BFA,-1.67,12.48
BGD,90.41,23.71
BOL,-68.15,-16.5
BRA,-47.9,-15.79
BWA,25.79,-24.66
CAF,18.56,4.37
CAN,-75.65,45.37
CHE,7.45,46.95
CHL,-70.65,-33.48
CIV,-4.02,5.32
CMR,11.51,3.87
COG,15.29,-4.29
COL,-74.08,4.63
CRI,-84.08,9.93
DNK,12.55,55.72
DOM,-69.91,18.5
ECU,-78.52,-0.23
EGY,31.25,30.08
ESP,-3.69,40.44
ETH,38,9.03
FIN,24.98,60.2
FRA,2.43,48.88
GBR,-0.18,51.49
GHA,-0.2,5.56
GRC,23.65,38.12
GTM,-90.52,14.62
HKG,114.15,22.43
HND,-87.2,14.1
IDN,106.76,-6.29
IND,77.22,28.57
IRL,-6.26,53.34
ISR,34.86,31.92
ITA,12.52,41.88
JAM,-76.8,18.02
JOR,35.93,31.95
JPN,139.81,35.68
KEN,36.83,-1.17
KOR,126.94,37.54
LKA,80.09,7.02
MAR,-6.75,33.92
MDG,47.5,-18.87
MEX,-99.13,19.43
MLI,-7.99,12.65
MOZ,32.57,-25.96
MRT,-15.78,18.03
MUS,59.57,-20.1
MWI,33.82,-13.92
MYS,101.71,3.15
NER,2.08,13.6
NGA,3.3,6.45
NIC,-86.27,12.15
NLD,4.89,52.37
NOR,10.72,59.93
NPL,85.31,27.71
NZL,175.14,-41.21
PAK,73.06,33.72
PAN,-79.4,8.95
PER,-76.82,-12.07
PHL,121.17,14.55
PNG,147.41,-9.55
PRT,-9.13,38.73
PRY,-57.67,-25.22
RWA,29.99,-2.12
SEN,-16.85,14.63
SGP,104.18,1.23
SLE,-12.91,8.38
SLV,-89.2,13.7
SWE,18.08,59.24
SYR,36.31,33.52
TCD,15.24,12.1
TGO,1.35,6.28
THA,100.55,13.75
TTO,-61.49,10.64
TUN,10.17,36.82
TUR,32.85,39.93
TZA,39.25,-6.82
UGA,32.58,0.32
URY,-56.17,-34.92
USA,-76.95,38.89
VEN,-66.9,10.5
ZAF,28.22,-25.73
ZAR,15.47,-4.39
ZMB,28.17,-15.43
ZWE,31.02,-17.83
