isocode,year,rgdpch,rgdpwok,kc,POP,openk,XRAT,rgdpl,ki,rgdptt
AFG,1950,,,,8150.368,,,,,
AFG,1951,,,,8284.473,,,,,
AFG,1952,,,,8425.333,,,,,
AFG,1953,,,,8573.217,,,,,
AFG,1954,,,,8728.408,,,,,
AFG,1955,,,,8891.209,,0.0168,,,
AFG,1956,,,,9061.938,,0.02,,,
AFG,1957,,,,9240.934,,0.02,,,
AFG,1958,,,,9428.556,,0.02,,,
AFG,1959,,,,9624.606,,0.02,,,
AFG,1960,,,,9829.45,,0.02,,,
AFG,1961,,,,10043.473,,0.02,,,
AFG,1962,,,,10267.083,,0.02,,,
AFG,1963,,,,10500.711,,0.03517833,,,
AFG,1964,,,,10744.167,,0.045,,,
AFG,1965,,,,10997.885,,0.045,,,
AFG,1966,,,,11262.324,,0.045,,,
AFG,1967,,,,11537.966,,0.045,,,
AFG,1968,,,,11825.32,,0.045,,,
AFG,1969,,,,12122.74,,0.045,,,
AFG,1970,1041.175816,3753.620922,81.17934324,12430.623,7.261797899,0.044998427,1040.609016,14.51576798,1026.507679
AFG,1971,982.5755639,3549.145425,80.33484666,12749.385,10.38489871,0.044998427,981.9173847,15.99871256,949.6678604
AFG,1972,930.4053343,3367.155077,80.44498053,13079.46,11.3482491,0.044998427,929.6147891,14.4133335,906.0568283
AFG,1973,995.919603,3611.186351,81.07701519,13421.301,11.95848331,0.044998427,995.2989085,13.11925367,975.512551
AFG,1974,1060.519461,3852.836342,79.52159825,13772.076,15.56173988,0.044998427,1059.086472,15.4479503,1052.298573
AFG,1975,1090.234899,3968.440861,76.92758742,14132.019,16.10390761,0.044998427,1087.81782,16.93683246,1078.601838
AFG,1976,1167.141336,4256.599761,70.61229587,14501.369,18.6824708,0.044998427,1162.776371,23.01366201,1146.176094
AFG,1977,1174.899191,4293.200091,73.91885307,14880.372,20.22497171,0.044998427,1171.521331,20.96756996,1155.860755
AFG,1978,1208.818846,4425.726163,71.90320438,15269.281,20.42757941,0.044998427,1204.879248,22.9976694,1191.733268
AFG,1979,1150.948497,4222.052576,72.31082055,15555.612,21.95159312,0.043730753,1147.549062,22.16114977,1135.207295
AFG,1980,1144.806961,4207.71275,72.72489154,15043.603,21.50069595,0.044129167,1141.51765,21.9919782,1128.959615
AFG,1981,1289.225751,4747.032781,72.31532613,13673.679,21.2925211,0.049479902,1285.374326,22.38503511,1271.380167
AFG,1982,1428.540985,5278.521283,72.45757402,12577.431,21.58267193,0.050599608,1424.361623,22.18069174,1408.861717
AFG,1983,1516.487847,5614.062705,72.50365367,12430.58,21.45926016,0.050599608,1512.052378,22.18675102,1495.534634
AFG,1984,1505.683319,5594.066819,72.42364118,12753.843,21.44448009,0.050599606,1501.257066,22.25057627,1484.89703
AFG,1985,1470.194977,5472.430226,72.45702237,13093.708,21.4947505,0.050599605,1465.890154,22.20527438,1449.910722
AFG,1986,1515.260662,5649.953928,72.45882981,13084.962,21.46575853,0.050599605,1510.819773,22.21378634,1494.340821
AFG,1987,1368.780232,5120.647578,72.4412335,12999.488,21.4675118,0.050599605,1364.761225,22.22236911,1349.8833
AFG,1988,1246.465604,4670.891569,72.44533912,13093.817,21.47491698,0.050599605,1242.811631,22.21268336,1229.261696
