countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"ARG",1950,-58.41,-34.67,9.402572,-1.851329,-2.995732,21.1958
"AUS",1950,149.04,-35.35,10.33553,-1.060864,-2.995732,21.2373
"AUT",1950,16.32,48.2,9.476556,-1.56648,-2.995732,20.40191
"BEL",1950,4.37,50.84,9.851615,-1.451214,-2.995732,21.61855
"BOL",1950,-68.15,-16.5,8.92722,-2.454473,-2.995732,19.73302
"BRA",1950,-47.9,-15.79,8.502508,-1.392248,-2.995732,21.18421
"CAN",1950,-75.65,45.37,10.28762,-1.666489,-2.995732,22.21589
"CHE",1950,7.45,46.95,10.29782,-1.74561,-2.995732,21.35208
"CHL",1950,-70.65,-33.48,9.114883,-1.106682,-2.995732,19.96621
"COL",1950,-74.08,4.63,9.006644,-1.61475,-2.995732,20.25583
"CRI",1950,-84.08,9.93,9.205223,-2.092919,-2.995732,18.05996
"DNK",1950,12.55,55.72,9.846723,-1.782212,-2.995732,20.47815
"DOM",1950,-69.91,18.5,8.580935,-2.150869,-2.995732,19.63604
"ECU",1950,-78.52,-.23,8.538769,-1.159709,-2.995732,19.12333
"EGY",1950,31.25,30.08,7.798193,-2.806701,-2.995732,21.41253
"ESP",1950,-3.69,40.44,9.148903,-1.738599,-2.995732,19.99829
"ETH",1950,38,9.03,6.404224,-3.618212,-2.995732,17.97365
"FIN",1950,24.98,60.2,9.372156,-1.462136,-2.995732,20.02931
"FRA",1950,2.43,48.88,9.618971,-1.713156,-2.995732,21.98903
"GBR",1950,-.18,51.49,9.855521,-2.301787,-2.995732,22.92408
"GRC",1950,23.65,38.12,9.098415,-1.772264,-2.995732,19.49405
"GTM",1950,-90.52,14.62,8.900226,-1.743872,-2.995732,19.89548
"HND",1950,-87.2,14.1,8.840729,-2.002049,-2.995732,19.57185
"IND",1950,77.22,28.57,7.270203,-2.280213,-2.995732,21.89294
"IRL",1950,-6.26,53.34,9.545177,-1.651651,-2.995732,19.90602
"ISR",1950,34.86,31.92,9.538572,-.8183146,-2.995732,18.99467
"ITA",1950,12.52,41.88,9.269451,-1.503395,-2.995732,21.48751
"JPN",1950,139.81,35.68,8.723468,-1.931827,-2.995732,20.62694
"KEN",1950,36.83,-1.17,7.775619,-1.753828,-2.995732,19.28053
"LKA",1950,80.09,7.02,7.401579,-1.391116,-2.995732,20.32492
"MAR",1950,-6.75,33.92,7.863877,-.9468642,-2.995732,20.07897
"MEX",1950,-99.13,19.43,9.478267,-1.752725,-2.995732,21.17616
"MUS",1950,59.57,-20.1,9.060246,-1.308392,-2.995732,18.23784
"NGA",1950,3.3,6.45,8.055993,-2.852285,-2.995732,20.4892
"NIC",1950,-86.27,12.15,8.757786,-2.146853,-2.995732,17.5415
"NLD",1950,4.89,52.37,10.10932,-1.533721,-2.995732,21.62888
"NOR",1950,10.72,59.93,9.99153,-1.109452,-2.995732,20.82498
"NZL",1950,175.14,-41.21,10.34306,-1.584316,-2.995732,20.0197
"PAK",1950,73.06,33.72,7.485589,-3.100366,-2.995732,20.67093
"PAN",1950,-79.4,8.95,8.598974,-1.793308,-2.995732,19.30637
"PER",1950,-76.82,-12.07,8.872087,-.9404081,-2.995732,20.19157
"PHL",1950,121.17,14.55,7.802791,-1.572279,-2.995732,20.94923
"PRT",1950,-9.13,38.73,8.814329,-1.764663,-2.995732,20.08314
"PRY",1950,-57.67,-25.22,8.350107,-2.66093,-2.995732,18.46009
"SLV",1950,-89.2,13.7,9.036302,-2.353796,-2.995732,18.87545
"SWE",1950,18.08,59.24,10.08422,-1.71159,-2.995732,21.17846
"THA",1950,100.55,13.75,7.588335,-2.084265,-2.995732,20.13217
"TTO",1950,-61.49,10.64,9.384272,-1.165571,-2.995732,18.65207
"TUR",1950,32.85,39.93,8.299815,-2.661115,-2.995732,20.10965
"UGA",1950,32.58,.32,7.238218,-2.727219,-2.995732,18.03908
"URY",1950,-56.17,-34.92,9.200477,-1.222381,-2.995732,19.40142
"USA",1950,-76.95,38.89,10.34746,-1.609068,-2.995732,23.21039
"VEN",1950,-66.9,10.5,9.756506,-.9794823,-2.995732,21.126
"ZAF",1950,28.22,-25.73,9.32346,-1.601954,-2.995732,21.54038
"ZAR",1950,15.47,-4.39,7.136927,-1.328382,-2.995732,17.61812
"ARG",1951,-58.41,-34.67,9.445993,-1.528569,-2.712696,21.17387
"AUS",1951,149.04,-35.35,10.35953,-.9432707,-2.568369,21.30065
"AUT",1951,16.32,48.2,9.543584,-1.455482,-3.070562,20.48431
"BEL",1951,4.37,50.84,9.883445,-1.484778,-3.00944,21.74295
"BOL",1951,-68.15,-16.5,8.985149,-2.068681,-2.728563,19.88633
"BRA",1951,-47.9,-15.79,8.529322,-1.238608,-2.59405,21.46159
"CAN",1951,-75.65,45.37,10.33914,-1.658585,-2.702707,22.32901
"CHE",1951,7.45,46.95,10.36683,-1.552984,-2.747245,21.46544
"CHL",1951,-70.65,-33.48,9.114883,-1.106682,-2.995732,19.96621
"COL",1951,-74.08,4.63,9.000532,-1.67578,-2.631167,20.29162
"CRI",1951,-84.08,9.93,9.218278,-2.019576,-2.623905,18.13947
"DNK",1951,12.55,55.72,9.819821,-2.015262,-2.967316,20.51951
"DOM",1951,-69.91,18.5,8.580935,-2.150869,-2.995732,19.63604
"ECU",1951,-78.52,-.23,8.538769,-1.159709,-2.995732,19.12333
"EGY",1951,31.25,30.08,7.77652,-2.717606,-2.721467,21.14745
"ESP",1951,-3.69,40.44,9.296448,-1.725119,-2.847354,19.94341
"ETH",1951,38,9.03,6.518247,-3.280575,-2.692018,18.25366
"FIN",1951,24.98,60.2,9.464673,-1.294466,-2.977166,20.24111
"FRA",1951,2.43,48.88,9.676494,-1.729892,-2.966416,22.12821
"GBR",1951,-.18,51.49,9.898503,-2.030318,-2.935334,22.95561
"GRC",1951,23.65,38.12,9.098415,-1.772264,-2.995732,19.49405
"GTM",1951,-90.52,14.62,8.904647,-1.789555,-2.581751,19.78948
"HND",1951,-87.2,14.1,8.845271,-1.79218,-2.580469,19.6931
"IND",1951,77.22,28.57,7.284861,-2.143589,-2.774302,21.8809
"IRL",1951,-6.26,53.34,9.595825,-1.520639,-3.219819,19.94761
"ISR",1951,34.86,31.92,9.610737,-.8719282,-1.567759,19.09081
"ITA",1951,12.52,41.88,9.351384,-1.454308,-2.959392,21.5718
"JPN",1951,139.81,35.68,8.813034,-1.616338,-2.611208,20.99467
